Date,Site,Landscape Treatment,Bowl Location,DateType,Block,Apis mellifera 
6/15/2016,Mustard Seed,CSA,CSA,42536CSA,East,1
6/29/2016,Mustard Seed,CSA,CSA,42550CSA,East,0
7/15/2016,Mustard Seed,CSA,CSA,42566CSA,East,1
7/27/2016,Mustard Seed,CSA,CSA,42578CSA,East,3
8/10/2016,Mustard Seed,CSA,CSA,42592CSA,East,2
9/6/2016,Mustard Seed,CSA,CSA,42619CSA,East,2
6/15/2016,Black Cat,CSA,CSA,42536CSA,East,0
6/29/2016,Black Cat,CSA,CSA,42550CSA,East,0
7/15/2016,Black Cat,CSA,CSA,42566CSA,East,0
7/27/2016,Black Cat,CSA,CSA,42578CSA,East,0
8/10/2016,Black Cat,CSA,CSA,42592CSA,East,0
9/6/2016,Black Cat,CSA,CSA,42619CSA,East,1
6/15/2016,7 pines,CSA,CSA,42536CSA,East,0
6/29/2016,7 pines,CSA,CSA,42550CSA,East,0
7/15/2016,7 pines,CSA,CSA,42566CSA,East,0
7/27/2016,7 pines,CSA,CSA,42578CSA,East,0
8/10/2016,7 pines,CSA,CSA,42592CSA,East,0
9/6/2016,7 pines,CSA,CSA,42619CSA,East,1
